2500081197997060;doge_rur;sell;20,47876401;0,41988762;1535866489999;1535866526281;1;20,47876401;
1500081197997559;doge_rur;buy;20,47876401;0,41820975;1535866533668;1535866561313;1;20,47876401;

2500081197998059;doge_rur;sell;20,53662795;0,41999900;1535866566577;1535866591283;1;20,53662795;
1500081197998507;doge_rur;buy;20,53662795;0,41832068;1535866596522;1535866651325;1;20,53662795;
2500081197999132;doge_rur;sell;20,53662795;0,42419899;1535866636575;0;0;0,00000000;

2500081197999433;doge_rur;sell;20,46455070;0,41999900;1535866656548;1535866681355;1;20,46455070;
1500081198000317;doge_rur;buy;20,46455070;0,41600958;1535866721574;1535866791395;1;20,46455070;
2500081198000487;doge_rur;sell;20,46455070;0,42419899;1535866736611;0;0;0,00000000;

2500081198002731;doge_rur;sell;20,47995827;0,41999897;1535866906739;1535866921519;1;20,47995827;
2500081198003620;doge_rur;sell;20,47995827;0,42419896;1535866976903;0;0;0,00000000;
1500081198005001;doge_rur;buy;20,47995827;0,41621657;1535867076773;1535867151629;1;20,47995827;

2500081198006010;doge_rur;sell;20,47586171;0,41999899;1535867157247;1535867186638;2;19,04766485;
1500081198006516;doge_rur;buy;19,04766485;0,41832067;1535867196823;1535867258084;2;4,19000000;
2500081198007229;doge_rur;sell;1,43875135;0,41999896;1535867248496;1535867291439;1;1,43875135;
2500081198008656;doge_rur;sell;20,48641620;0,42419898;1535867343343;0;0;0,00000000;
1500081198011365;doge_rur;buy;16,29641620;0,41617667;1535867563393;1535867663981;1;16,29641620;

2500081198013296;doge_rur;sell;20,50209383;0,41899999;1535867715245;1535867760089;1;20,50209383;
2500081198014497;doge_rur;sell;20,50209383;0,42318999;1535867815258;0;0;0,00000000;
1500081198016344;doge_rur;buy;20,50209383;0,41712294;1535867956601;1535868030205;1;20,50209383;

2500081198019106;doge_rur;sell;20,57345780;0,41451939;1535868175502;1535868238921;1;20,57345780;
1500081198020498;doge_rur;buy;20,57345780;0,41276826;1535868279655;1535868308997;1;20,57345780;
2500081198020714;doge_rur;sell;20,57345780;0,41866458;1535868294222;0;0;0,00000000;

2500081198021016;doge_rur;sell;20,57633390;0,41348620;1535868314204;1535868354180;1;20,57633390;
1500081198021697;doge_rur;buy;20,57633390;0,41183391;1535868359207;1535868420435;1;20,57633390;
2500081198022309;doge_rur;sell;20,57633390;0,41762106;1535868404236;0;0;0,00000000;

2500081198025772;doge_rur;sell;20,68887599;0,40861642;1535868647051;1535868721888;1;20,68887599;
2500081198027719;doge_rur;sell;20,68887599;0,41270258;1535868767136;0;0;0,00000000;
1500081198028485;doge_rur;buy;20,68887599;0,40516037;1535868822155;1535868916967;1;20,68887599;

2500081198029979;doge_rur;sell;20,69641790;0,40619596;1535868922465;1535868972073;1;20,69641790;
2500081198031959;doge_rur;sell;20,69641790;0,41025792;1535869050197;1535869093407;1;20,69641790;
2500081198033566;doge_rur;sell;20,69641790;0,41436050;1535869153666;0;0;0,00000000;
1500081198034430;doge_rur;buy;41,39283580;0,40607697;1535869213688;1535869253442;1;41,39283580;

2500081198039759;doge_rur;sell;20,77416557;0,38822149;1535869533873;1535869577187;1;20,77416557;
2500081198041178;doge_rur;sell;20,77416557;0,39210370;1535869627424;1535869662257;1;20,77416557;
2500081198044022;doge_rur;sell;20,77416557;0,39602474;1535869822709;0;0;0,00000000

2500081198046733;doge_rur;sell;20,80665211;0,38827280;1535870011914;1535870026735;1;20,80665211;
1500081198047101;doge_rur;buy;20,80665211;0,38672126;1535870032000;1535870065799;1;20,80665211;

2500081198047778;doge_rur;sell;20,80666077;0,38901558;1535870072548;1535870095809;1;20,80666077;
1500081198048220;doge_rur;buy;20,80666077;0,38746107;1535870101022;0;0;0,00000000

2500081198050041;doge_rur;sell;20,66302543;0,39670589;1535870246197;1535870270972;1;20,66302543;
2500081198052272;doge_rur;sell;20,66302543;0,40103614;1535870411223;0;0;0,00000000;
1500081198054257;doge_rur;buy;20,66302543;0,39494094;1535870561378;1535870641328;1;20,66302543;

2500081198059035;doge_rur;sell;20,69475899;0,39096560;1535870867814;1535870881532;1;20,69475899;
1500081198059909;doge_rur;buy;20,69475899;0,38899884;1535870921677;1535871133059;1;20,69475899;
2500081198060149;doge_rur;sell;20,69475899;0,39487526;1535870936666;0;0;0,00000000;

2500081198066652;doge_rur;sell;20,79087946;0,38155910;1535871357840;1535871427656;1;20,79087946;
1500081198068398;doge_rur;buy;20,79087946;0,38000002;1535871467877;0;0;0,00000000

2500081198074257;doge_rur;sell;20,84006005;0,37389190;1535871839619;1535871874385;1;20,84006005;
2500081198075985;doge_rur;sell;20,84006005;0,37763082;1535871959991;1535872114249;1;20,84006005;
2500081198093161;doge_rur;sell;20,84006005;0,38175222;1535873141916;1535873266671;1;20,84006005;
2500081198102323;doge_rur;sell;20,84006005;0,38557200;1535873746747;1535873811619;1;20,84006005;
1500081198103579;doge_rur;buy;83,36024020;0,37819441;1535873826791;0;0;0,00000000

2500081198105809;doge_rur;sell;20,30196848;0,38991224;1535873966966;1535874006716;1;20,30196848;
2500081198108338;doge_rur;sell;20,30196848;0,39381136;1535874132427;0;0;0,00000000;
1500081198109073;doge_rur;buy;20,30196848;0,38825287;1535874177384;1535874232134;1;20,30196848;

2500081198111137;doge_rur;sell;20,24903772;0,38999999;1535874308948;1535874378723;2;0,62190300;
2500081198112768;doge_rur;sell;19,65750822;0,38879790;1535874425113;1535874493765;1;19,65750822;
2500081198115541;doge_rur;sell;20,27941122;0,39279314;1535874629408;0;0;0,00000000;
1500081198115611;doge_rur;buy;20,27941122;0,38728098;1535874634192;1535874688991;1;20,27941122;

2500081198121776;doge_rur;sell;20,44107958;0,38114287;1535875041926;1535875086933;2;0,51512382;
2500081198122433;doge_rur;sell;19,92595588;0,38114286;1535875091743;1535875142360;2;0,41037883;
1500081198122516;doge_rur;buy;0,51512382;0,37961982;1535875097470;1535875152391;1;0,51512382;
2500081198124066;doge_rur;sell;19,51549530;0,38031792;1535875209643;1535875249408;1;19,51549530;
2500081198125381;doge_rur;sell;20,44099795;0,38415882;1535875305399;0;0;0,00000000;
1500081198125570;doge_rur;buy;19,92587413;0,37864692;1535875319861;1535875384633;1;19,92587413;

2500081198127064;doge_rur;sell;20,45855191;0,37799999;1535875425071;1535875459837;2;0,31389503;
2500081198127654;doge_rur;sell;20,14465688;0,37710422;1535875465264;1535875514984;1;20,14465688;
1500081198127736;doge_rur;buy;0,31389503;0,37648949;1535875470066;1535875519984;1;0,31389503;
1500081198129559;doge_rur;buy;20,14465688;0,37548608;1535875600819;1535875695326;1;20,14465688;
2500081198130219;doge_rur;sell;20,45855191;0,38088914;1535875645532;1535875675001;1;20,44367415;








2500081198143638;doge_rur;sell;20,31661863;0,37476480;1535876638867;1535876682378;1;20,31661863;
1500081198144304;doge_rur;buy;20,31661863;0,37326724;1535876687581;0;0;0,00000000

2500081198146726;doge_rur;sell;20,36369177;0,37472928;1535876857714;1535876872539;1;20,36369177;
1500081198147027;doge_rur;buy;20,36369177;0,37323186;1535876877770;0;0;0,00000000

2500081198148500;doge_rur;sell;20,35583765;0,37499999;1535876988979;1535877027582;1;20,35583765;
1500081198149106;doge_rur;buy;20,35583765;0,37350149;1535877032821;1535877092570;1;20,35583765;
2500081198149788;doge_rur;sell;20,35583765;0,37874999;1535877077815;0;0;0,00000000;

2500081198153625;doge_rur;sell;20,42831805;0,36452925;1535877336230;1535877366037;1;20,42831805;
2500081198154888;doge_rur;sell;20,42831805;0,36817454;1535877431652;0;0;0,00000000;
1500081198154996;doge_rur;buy;20,42831805;0,36307259;1535877436271;1535877506084;1;20,42831805;

2500081198157695;doge_rur;sell;20,46824098;0,35794187;1535877606434;1535877651205;1;20,46824098;
2500081198159296;doge_rur;sell;20,46824098;0,36152129;1535877716469;0;0;0,00000000;
1500081198159379;doge_rur;buy;20,46824098;0,35651153;1535877721511;1535877791328;1;20,46824098;

2500081198160566;doge_rur;sell;20,46739435;0,35999979;1535877796506;1535877896321;1;20,46739435;
2500081198163226;doge_rur;sell;20,46739435;0,36359979;1535877975147;1535878019971;1;20,46739435;
2500081198164705;doge_rur;sell;20,46739435;0,36723579;1535878091050;1535878150838;1;20,46739435;
2500081198167232;doge_rur;sell;20,46739435;0,37090815;1535878286144;0;0;0,00000000;
1500081198167408;doge_rur;buy;61,40218305;0,36106165;1535878301119;1535878420932;1;61,40218305;

2500081198170128;doge_rur;sell;20,48667672;0,35716328;1535878526369;1535878570957;1;20,48667672;
1500081198170976;doge_rur;buy;20,48667672;0,35573606;1535878576252;1535878651009;1;20,48667672;
2500081198171894;doge_rur;sell;20,48667672;0,36073491;1535878636340;0;0;0,00000000;

2500081198172184;doge_rur;sell;20,48789516;0,35479563;1535878656257;1535878701077;1;20,48789516;
1500081198172766;doge_rur;buy;20,48789516;0,35337787;1535878706529;1535878791125;1;20,48789516;
2500081198173299;doge_rur;sell;20,48789516;0,35834359;1535878747252;0;0;0,00000000;

2500081198177570;doge_rur;sell;20,55566280;0,34942805;1535879054785;1535879098783;1;20,55566280;
1500081198178263;doge_rur;buy;20,55566280;0,34803174;1535879103532;1535879166850;1;20,55566280;
2500081198178885;doge_rur;sell;20,55566280;0,35292233;1535879148549;0;0;0,00000000;

2500081198180184;doge_rur;sell;20,58070223;0,34499999;1535879248854;1535879309145;1;20,58070223;
1500081198181098;doge_rur;buy;20,58070223;0,34362137;1535879314384;1535879382824;1;20,58070223;
2500081198181783;doge_rur;sell;20,58070223;0,34844999;1535879368136;0;0;0,00000000;

2500081198185458;doge_rur;sell;20,65769572;0,34211999;1535879623043;1535879712867;1;20,65769572;
1500081198186831;doge_rur;buy;20,65769572;0,34075288;1535879718065;1535879777983;1;20,65769572;
2500081198187458;doge_rur;sell;20,65769572;0,34554119;1535879764377;0;0;0,00000000;

2500081198187692;doge_rur;sell;20,64615844;0,34058307;1535879783441;1535879847984;1;20,64615844;
2500081198190141;doge_rur;sell;20,64615844;0,34398890;1535879968385;1535880043235;1;20,64615844;
2500081198191930;doge_rur;sell;20,64615844;0,34855587;1535880098493;1535880128480;1;20,64615844;
2500081198193160;doge_rur;sell;20,64615844;0,35204737;1535880183865;1535880228695;1;20,64615844;
2500081198197468;doge_rur;sell;20,64615844;0,35556784;1535880449030;0;0;0,00000000;
1500081198197656;doge_rur;buy;82,58463376;0,34400006;1535880463564;1535880552486;1;82,58463376;

2500081198202110;doge_rur;sell;20,60115046;0,34090774;1535880772937;1535880842736;1;20,60115046;
1500081198203168;doge_rur;buy;20,60115046;0,33954547;1535880847988;1535880902750;1;20,60115046;
2500081198203788;doge_rur;sell;20,60115046;0,34431682;1535880887965;0;0;0,00000000;

2500081198215879;doge_rur;sell;20,76575491;0,31744376;1535881556258;1535881586053;1;20,76575491;
1500081198216472;doge_rur;buy;20,76575491;0,31617525;1535881591338;1535881681295;1;20,76575491;
2500081198217686;doge_rur;sell;20,76575491;0,32061820;1535881666507;0;0;0,00000000;

2500081198217984;doge_rur;sell;20,80827905;0,31544381;1535881686539;1535881727846;1;20,80827905;
2500081198220149;doge_rur;sell;20,80827905;0,32726607;1535881826786;1535881896402;1;20,80827905;
2500081198222169;doge_rur;sell;20,80827905;0,33053873;1535881951656;1535882136443;1;20,80827905;
2500081198225236;doge_rur;sell;20,80827905;0,33384412;1535882181947;1535882247430;1;20,80827905;
1500081198226541;doge_rur;buy;83,23311620;0,32546740;1535882263310;0;0;0,00000000

2500081198231502;doge_rur;sell;19,97308935;0,35134838;1535882583044;1535882622802;1;19,97308935;
2500081198235439;doge_rur;sell;19,97308935;0,36328375;1535882793169;1535882852933;1;19,97308935;
1500081198236629;doge_rur;buy;39,94617870;0,35588823;1535882869339;1535882938005;1;39,94617870;
2500081198237572;doge_rur;sell;19,97308935;0,36691659;1535882924179;0;0;0,00000000;

2500081198237936;doge_rur;sell;19,41855332;0,36121140;1535882943220;1535882998003;1;20,04477526;
1500081198239382;doge_rur;buy;20,04477526;0,35976800;1535883028504;1535883088246;1;20,04477526;
2500081198240167;doge_rur;sell;20,04477526;0,36482351;1535883073516;0;0;0,00000000;

2500081198241824;doge_rur;sell;19,68767634;0,34211883;1535883163504;1535883199779;1;19,68767634;
1500081198242581;doge_rur;buy;19,68767634;0,34075172;1535883205226;1535883264796;1;19,68767634;
2500081198243371;doge_rur;sell;19,68767634;0,34554002;1535883251739;0;0;0,00000000;

2500081198245012;doge_rur;sell;19,76441003;0,34211883;1535883353622;1535883380022;1;19,76441003;
2500081198251033;doge_rur;sell;19,76441003;0,34901393;1535883759072;0;0;0,00000000

2500081198253126;doge_rur;sell;19,40558812;0,35324102;1535883891676;1535883931386;1;19,40558812;
2500081198257213;doge_rur;sell;19,40558812;0,35716458;1535884148722;0;0;0,00000000;
1500081198257438;doge_rur;buy;19,40558812;0,35161435;1535884163898;1535884258943;1;19,40558812;

2500081198260920;doge_rur;sell;19,39123527;0,35121949;1535884387172;1535884466947;1;19,39123527;
1500081198262210;doge_rur;buy;19,39123527;0,34981602;1535884472428;1535884557060;1;19,39123527;
2500081198263210;doge_rur;sell;19,39123527;0,35473168;1535884542260;0;0;0,00000000;

2500081198263469;doge_rur;sell;19,51804202;0,34762415;1535884562268;1535884602084;1;19,51804202;
1500081198264578;doge_rur;buy;19,51804202;0,34606686;1535884637651;1535884827900;1;19,51804202;
2500081198267359;doge_rur;sell;19,51804202;0,35152772;1535884813423;0;0;0,00000000;

2500081198271519;doge_rur;sell;19,58713378;0,34499999;1535885083209;1535885153303;1;19,58713378;
1500081198273426;doge_rur;buy;19,58713378;0,34285276;1535885213487;1535885328392;1;19,58713378;
2500081198275001;doge_rur;sell;19,58713378;0,34906252;1535885313605;0;0;0,00000000;

